variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,22735.69305,2639.763002,3268.712755,18984.59806,29363.59358,6272.07423,12480.11989,37921.37302,37295.74501,591.1889815,555.7321629,4394.230979,14062.53431,22066.76976,3372.829211,4039.512243,81545.82039,5655.245713,13836.94096,24688.13082,35391.20371,8103.75635,2910.180031,923.9796196,974.8835619,143.0169564,1945.844466,3956.66277,565.5861935,2722.209396,5314.585909,5765.35471,17357.5612,35839.1596,1010.50786,6171.981431,46502.28464,4757.936195,3309.681319,3043.258255,1493.674342,201.0592573,25667.36438,10344.97977,38619.91936,3531.124758,35207.42883,3207.76677,6557.560217,37423.55629,1897.341121,979.3948234,327.3441533,25750,485.0189909,439.2567055,16755.58327,22110.01049,6272.259743,2260.831369,19600,2151.378391,30570.04924,1516.28909,10645.62161,447.2162663,1572.791015,993.0008923,45342.63752,3206.336958,1229.425094,51410.42611,22125.52226,28851.55368,4033.002626,2752.87753,36184.50386,578.8124104,601.9787526,1117.942592,10843.3493,21118.63272,33425.03009,7129.207402,189.3715651,8543.937827,6011.304781,1594.853973,8231.944369,6883.521352,37544.2387,2369.301881,188409.5975,281.840974,4554.184462,8129.118929,2718.960878,16150.62738,363.5379442,4384.986757,397.9030169,649.9513831,28157.89474,6275.61194,6052.967517,3889.865992,34647.55078,992.1589825,961.9614861,41315.21903,64563.66707,9867.771857,26431.16025,14861.08701,780.9162831,6536.496041,3859.067369,1406.150378,8000,936.0580293,9988.017018,25307.23733,508.4976404,18404.40426,3132.106957,20176.69788,57897.6137,24971.04548,5213.499118,6328.538258,13154.3095,873.6464408,829.6529036,33612.87661,1028.425768,270.0556574,2963.504446,261.3460051,793.9585807,4784.650691,19221.50618,42334.07355,13194.76299,1795.981869,409.6996332,3041.1658,5100.945285,2721.456624,13869.14023,3839.204971,7747.492264,3524.392506,19281.38875,426.9875161,1991.92019,7019.900315,42167.04854,5251.36772,5965.839069,9599.69281,845.6308415,2105.89898,2308.142496,862.4364006,5751.314179
2,27984.23969,3311.120413,4707.125674,23017.67041,32312.47461,7767.271512,14550.86695,44961.90549,44267.49497,739.6205258,884.7698793,6635.637907,15063.30191,25313.19525,5146.875809,4489.032541,102545.9358,7390.194987,17354.23441,34470.68898,41065.46644,10052.94265,5304.781204,1212.353388,1290.467428,180.6771376,2561.342072,4717.208312,725.2671724,4039.820297,6311.293649,7807.105387,22182.88642,42686.32223,1372.350242,8279.718875,54853.50093,5707.727947,4758.87847,3617.258121,1891.773594,251.2467719,31111.46913,14720.59794,45703.15444,5897.643121,39330.35067,5523.674741,8845.112548,43858.73077,3297.016151,1283.199857,416.9401623,31694.40097,609.0306064,581.8456316,21122.48259,26463.4788,8145.624544,2378.330877,33750.5912,2821.422634,37135.07329,1687.388752,16094.6986,530.9924607,2340.439554,1737.739252,49730.39619,4767.083561,1485.924976,53919.91819,24243.78612,33406.76976,5253.424082,3422.958234,42158.85322,726.6648704,959.0237441,1720.633648,12427.5718,27455.09707,36219.02207,9878.830614,238.4877678,12487.78893,7393.622512,2666.485489,12098.6335,10082.35067,41917.15501,3194.561401,231904.0517,347.4949896,7236.238945,9372.635443,4681.966178,22185.95863,604.1251994,6445.77637,519.6010546,852.2039403,34658.15947,9754.594989,8489.294013,5414.431628,42645.956,1255.862285,1133.28066,49102.40144,70650.60066,16991.99663,32163.05189,16088.77998,1182.145698,7650.681236,4649.265257,2140.020158,13775.75151,1358.343919,14053.0745,32410.14307,874.398933,22545.4883,4746.596665,34743.64704,62242.69366,42999.36469,7535.36183,9049.593938,17537.76442,1128.524982,1050.353193,41053.83735,1448.942662,359.5808231,3731.25799,324.5997747,1070.777078,5931.343199,26637.12372,48776.59571,20697.90925,2253.464118,547.8633339,4749.739712,8783.669341,4573.813054,17348.21879,5171.171391,8934.877617,6068.894424,25045.15,510.6000652,3113.041401,9094.019982,49216.52077,7037.188569,8446.956049,11815.78692,1380.699128,2985.31282,3954.429894,952.6650693,8118.161646
3,32800.60772,3943.180641,6647.03191,27928.84188,34449.8061,9790.125031,16509.02885,51801.9722,52808.51218,948.8842975,1457.220777,9671.457871,16738.07049,28458.82551,7625.749514,5181.054132,124109.2678,9949.041317,21025.08536,45487.97704,47143.30306,12821.59832,8445.584239,1622.552724,1759.585736,236.246613,3383.496094,5818.742487,950.3173998,6089.640813,7854.382523,10673.45623,27905.63081,50985.25751,1886.667194,10975.90046,65163.20562,7073.864754,6510.458412,4443.350254,2492.958731,333.8747117,36910.71773,20291.84619,54784.04743,10170.98767,44350.674,9511.596333,12208.55231,50754.41165,5295.818792,1734.803964,543.6874676,37149.32494,789.3452212,780.4878475,28268.69866,32113.41672,11004.43837,2585.393627,58117.46973,3688.839839,41639.77845,1953.152772,23386.47896,644.2927634,3579.364542,2702.21421,56227.50381,6772.788867,1699.069811,57971.15772,26091.74587,39436.59341,7024.100501,4435.057664,49801.51833,943.7206406,1572.084883,2700.234273,13999.13013,33118.3305,37351.45151,14047.97634,307.2002632,16821.55816,9416.700174,4620.015322,16907.78269,14173.66697,45046.41533,4423.108628,271817.0624,438.3982803,12039.16298,11158.60094,8062.200332,29612.1077,1029.265464,9140.74515,687.7554184,1147.468923,40623.17596,15512.88907,11122.95366,7745.948671,49985.75231,1470.004022,1389.032679,58917.33629,77693.49468,29259.69042,37747.10265,17909.54785,1854.547802,9223.13411,5710.108745,3329.458727,23721.41621,2021.500634,18245.78576,39442.20976,1516.580802,28319.87592,7951.70063,59827.48103,70361.51871,74043.57039,10465.80378,11974.22314,22623.473,1510.03186,1371.052074,46849.23576,2110.14771,492.7931249,4673.516607,395.4984522,1485.004998,7535.081698,35914.97284,56846.98795,32769.99649,2883.053405,754.5282919,6912.792712,15125.20578,7534.648716,21436.35057,7219.500021,11188.56853,10450.44769,30414.08464,620.6535684,4665.579169,11860.14295,57023.86113,9360.583208,11254.33281,13849.40223,2347.67526,4358.049769,6762.580975,1099.42918,11547.21843
4,38445.92094,4891.646989,9244.803425,34971.17677,37316.54519,12551.11137,19259.21001,58910.05814,60247.49378,1249.926758,2370.897599,13465.04026,19200.78694,33129.6916,10992.9383,6869.409162,152879.7103,14468.5285,26130.48698,58978.9256,52056.73714,16811.38952,12797.04317,2232.800337,2450.823696,319.9463948,4556.26556,8153.933093,1259.528187,9440.488204,11165.4862,16438.6475,34588.94008,59639.49736,2681.644478,16593.02854,74952.82514,9959.920034,9210.150879,6202.76288,3381.147257,455.0388346,42046.15229,26765.72111,63582.66512,16788.13638,48885.0306,15622.28901,17290.64237,57081.95346,8126.052386,2404.412983,727.3816764,43543.09596,1057.137891,1063.091917,39064.27634,37142.47996,17040.83244,3198.369476,95454.84024,5489.151018,46958.10589,2581.847849,32688.54175,884.7972979,5356.30915,4121.495121,61241.06923,9855.763208,2015.565657,62160.05224,28499.04801,45372.09506,10744.63456,5947.065877,57839.67895,1251.569196,2539.344628,4196.626443,16222.19657,40175.6605,38472.40432,20582.63708,405.348503,23181.31179,13615.24268,7777.671292,22655.40352,19033.00327,49912.46912,6327.243553,318599.5023,571.7278601,19780.98993,14347.1753,13241.73348,38473.56536,1723.890889,12508.06367,935.0251845,1581.230744,47614.83156,25261.12657,14330.97235,11446.15806,58588.8011,1751.245357,1943.011061,68244.41579,84359.21149,48057.47888,43725.29371,20978.07011,2880.937669,12620.1052,7963.929359,5070.827354,38961.15928,2950.777669,23135.79646,48434.6479,2564.610147,34164.45014,12700.46218,98263.44247,78621.53627,121612.61,13970.29235,15169.06554,30549.1507,2080.124869,1837.096227,54216.36318,3017.079965,693.6905132,6596.671369,486.3861352,2112.853258,10883.7124,46661.56777,64259.75804,52897.00604,3845.019319,1070.553735,9794.908557,24842.34272,11839.81011,26627.7953,10413.45335,15147.01746,17164.30222,37031.00283,768.0800263,6667.607501,15687.52916,65563.49445,13629.69255,15466.66737,16233.02312,3911.348916,6249.207014,10884.40786,1312.630492,16687.43501
5,45062.84914,5707.265517,12584.06961,44605.39167,41046.36813,16353.44158,23007.02494,64845.45662,65678.22196,1694.677996,3794.005996,17844.66546,22845.03974,39415.51749,15430.48236,10358.52256,189895.7966,21569.54768,33157.73643,74827.9746,57409.45029,22553.4489,18065.00012,3156.607327,3496.284824,447.1830198,6292.6311,12915.00607,1720.791397,15038.08809,17967.769,28555.68952,42055.5188,68101.96719,3903.29608,28084.05199,83050.33521,15893.4988,12103.28276,9805.891366,4712.228297,642.8421521,47222.09933,33290.46447,70338.51512,26657.45524,54005.07041,24468.32944,24966.14303,63485.1504,11847.38519,3424.781926,999.8502397,51037.29905,1462.152626,1471.073303,55350.52444,41078.50543,30067.33025,4483.860715,149505.6504,9226.416523,52399.68545,3878.859068,43635.13279,1372.674385,8226.556268,6154.75506,63945.42831,13330.5075,2240.581522,67380.67413,31637.47748,50986.77107,18737.60203,8275.29753,67299.74116,1703.862004,4004.621656,6377.214496,19307.6238,48908.6695,40058.70582,30932.09902,551.2074848,29685.80273,22233.24338,12800.16968,28774.75592,24104.02699,55987.65362,9271.676725,373433.6687,767.3370909,31678.55926,20882.95675,20739.79665,47946.01139,2813.83368,16478.82074,1305.454244,2234.492881,55809.82114,41990.70692,18082.85909,17371.34773,68672.52079,1935.070264,3090.624963,76232.88641,91747.43243,75269.77801,49007.90819,25638.70009,4400.851048,19522.83592,12583.48427,7552.769293,61022.71443,4227.981521,27296.63135,60148.93418,4187.491085,39906.95677,19056.38079,153904.6091,88175.3379,190475.1222,17877.91762,17868.46844,38539.08519,2944.808778,2538.622352,63320.35422,4248.259207,1006.050176,10506.48556,608.4122863,3095.861013,17809.49526,57889.73687,69294.22631,88002.51878,5324.792828,1562.009184,13526.242,38909.19093,18288.5455,33483.95948,15272.84106,21059.63982,26883.49968,45142.12328,974.5504305,9014.418124,21058.45198,72381.8629,22193.64735,19829.37839,19026.88904,6376.368024,8786.284597,17221.306,1617.353563,24389.50002
6,52818.61697,6234.292065,16606.04245,58554.83941,45265.15958,19648.51304,27884.49135,70906.96846,71721.79559,2362.3403,5673.513996,22120.45656,28403.34169,47504.89631,20836.20498,13226.11958,233580.682,31261.68502,42301.6425,96926.85327,63210.23194,27975.3498,24729.30135,4590.049424,5110.765515,644.0426131,8910.127811,17189.10457,2380.640005,24581.63939,24427.83355,41692.14597,48363.18457,77731.9868,5906.8089,39106.74307,91886.53805,21141.79215,14867.49509,13004.64435,6120.701491,941.96628,53728.85076,38690.95691,77354.40123,38891.81498,58436.58082,34826.06233,36858.0472,69440.11773,16332.26282,5012.947067,1412.134309,59821.32957,2084.443124,2072.890169,80894.29821,46053.34693,42661.47955,5323.247143,212793.1582,12364.76892,57707.37518,4929.675741,55489.28155,1776.674143,12311.50695,8972.86662,67976.84862,16977.80097,2325.663013,72294.74558,35794.46573,58047.01554,26361.13396,10783.15047,78162.44775,2389.385669,5880.488259,8960.892166,23442.10078,58876.73583,41105.13088,43133.44664,769.5223196,35700.38425,30408.69098,19485.88796,33877.7587,28480.57211,62929.6284,12604.94638,437705.3447,1059.638671,47675.1868,28291.03536,29519.19756,55299.29801,4247.554109,20815.32157,1863.288838,3233.120958,65415.25052,70648.26135,23241.43645,27014.44744,80491.74966,1988.818028,4097.115935,85037.33649,98022.4014,107132.3642,54068.37113,32365.9582,6305.937062,25523.18027,16713.01036,10466.05248,86854.35027,5650.271351,31367.54799,75300.83134,6250.743588,47650.66222,27184.37306,219054.2481,97953.31986,271105.4913,21525.6903,20624.9233,45605.37627,4275.353754,3610.742214,72887.34024,5602.210343,1496.318109,14008.8151,777.7697171,4651.008317,24062.62586,67135.46557,75016.62738,149251.5865,6862.66649,2342.575302,18917.05987,55379.91106,25041.06072,42736.51897,20812.24568,28556.88743,38263.60265,54659.73546,1274.803945,11629.54811,25815.83723,78850.41953,30295.66236,23610.90728,22301.60727,9716.720991,11523.82664,23624.26168,1874.061798,32568.95114
7,58940.53972,6684.520166,20756.71606,73625.59457,51850.74775,22805.26003,32418.28863,77511.57795,78002.80873,3381.172068,7889.23325,26534.23026,34183.22712,55056.28002,26295.14209,15695.7838,270674.419,43827.75898,51254.66823,121201.2954,69417.6947,33417.73268,32437.67423,6864.883844,7644.482379,954.9397157,12902.126,21046.82377,3366.973425,41215.77749,30668.74891,55203.25101,55041.86475,87663.64523,9158.829265,49507.71411,101228.9845,25782.90326,17802.93103,15896.54375,7373.316912,1416.021071,61983.74297,43977.60623,84865.83815,52046.02899,63182.02385,45003.18807,55603.96592,76125.93412,21390.03523,7515.930997,2047.139948,66754.8992,3056.773872,2975.583704,121257.493,51766.2701,54502.2861,5887.084249,274977.1256,15258.43488,62623.79026,5827.415303,65461.11008,2124.981294,16981.94904,13357.98834,72978.6543,21172.51664,2360.362723,78089.9239,39121.06673,65995.29885,33160.41588,13070.9745,90841.10638,3440.268484,8041.408039,11737.17574,27461.64894,69162.73009,43186.267,55515.64722,1100.377323,41849.03555,38402.46742,27045.14676,39047.83625,32985.41191,70280.14964,15870.89286,488437.4248,1504.706517,67413.91458,35126.23328,38145.5126,62318.99326,5906.866686,24581.01154,2727.371613,4779.356658,72997.18155,119454.4992,28945.82934,43043.32504,89821.11688,1991.756378,5003.993732,93840.70801,105056.3436,138439.3644,58386.26857,39542.01686,8438.047557,30786.30835,20486.22105,13464.59972,112235.5615,7024.031373,36475.59822,90628.67118,8529.892101,57127.92726,37181.78384,283067.8769,112061.0967,350329.9138,25355.69585,23667.31538,53015.59602,6372.76551,5270.785555,82146.03453,6887.525603,2277.663874,17241.27749,1020.133942,7178.893412,29811.60884,76045.86679,81563.7776,255067.1544,8233.66409,3603.891412,25298.22099,71563.43228,30664.07325,52295.14495,26333.45927,37514.78795,49445.27148,64970.67917,1714.798477,13871.59711,30326.53317,85343.29123,37935.80874,27284.41649,24886.46703,13680.97194,14067.16302,28841.49453,2030.94238,39732.3791
8,64169.85944,7182.080367,25717.95469,89022.86843,59804.73586,26082.55697,36985.59857,84272.27086,84469.33789,4513.515333,10124.5689,31041.75662,39740.12354,62615.03095,32272.54161,18136.76457,305353.8621,56324.48229,60310.82149,145483.0282,75909.05589,39223.27553,40438.51232,9556.448287,10610.18536,1320.813759,17364.40219,24813.69055,4440.044014,64186.19646,37178.28933,68683.55839,62931.63763,97742.23514,13141.77512,60005.79284,111297.8646,30322.22304,20943.27276,18764.68473,9044.728595,1981.631677,70625.45459,49304.63495,92951.41784,63666.41609,68227.93739,52748.68763,77712.891,83500.8096,25878.37816,10471.7487,2765.84866,72677.52414,4180.934554,3948.97979,168729.5059,57635.37748,66775.95169,6355.82127,322303.444,18183.67742,68098.14754,6710.269749,74736.19666,2463.723137,21415.51949,18357.58938,78157.4781,26032.69036,2396.146692,84566.7888,42231.11174,73733.87567,39701.25087,16162.52046,104344.0107,4613.900351,10155.53849,14265.00606,31644.1792,80520.49979,45917.57391,71964.85614,1464.5408,48267.73687,46721.58935,34104.61245,44586.92959,37606.34991,78885.27284,20190.45412,531772.5464,1993.098496,88958.67044,41887.18306,44710.73751,70231.70625,7493.751238,28365.47961,3711.591417,6555.840919,79473.63396,183725.8287,34883.00773,63616.41329,97790.22167,1989.995249,5923.553848,102984.1507,112723.53,162266.166,63090.58896,47275.38731,10461.13684,35776.0886,24258.65196,16025.0588,131552.4261,8100.181361,42163.62532,107091.5478,10574.46886,67743.30973,48873.00053,331786.6947,130002.4719,410625.202,29407.76176,26816.6496,61250.29274,8838.876013,7172.184543,92768.96909,7866.84706,3220.4859,20564.4543,1248.550081,10303.67149,35480.71768,85333.62855,88572.53292,396549.3539,10127.99076,5147.420961,32215.33938,83880.21598,34745.95685,62345.10315,33399.28422,47363.97318,57955.2981,77093.21976,2153.961451,15885.58434,34948.17578,91924.05236,45670.592,31233.74799,27094.44295,17650.77815,15933.63739,32449.55125,2259.981932,46554.00906
9,68157.16011,7706.375016,31577.62402,103402.7857,68567.27262,29240.29503,41422.17519,91114.579,91491.3801,5603.908362,12467.33091,35417.29365,44744.43264,69315.29705,38701.73024,20306.43356,335229.2916,65726.17523,68502.71227,166628.8245,82627.10027,45036.34085,47554.13793,12318.99602,13621.28164,1696.567024,21683.66542,28060.53165,5442.160077,91474.06766,43148.23625,80653.72115,71435.66789,108096.4137,17385.68226,69314.47801,122276.6906,34293.73185,24011.24688,21286.5636,11214.40816,2574.693001,79296.91082,54650.22185,101638.3866,74655.78933,73837.96172,58862.50525,100093.0389,91669.98502,30042.00971,13514.28491,3472.66209,77193.46268,5311.593498,4837.998961,217486.0835,63819.04698,77221.32592,6675.432528,359659.9085,20764.67167,73638.46703,7484.447754,84372.05878,2752.087593,24543.13159,23146.65536,83666.9689,30802.21493,2428.164948,91687.05513,45021.40435,81413.08655,45345.45207,20251.42525,117781.5946,5749.539814,12289.08523,16689.27594,35684.14571,92320.75589,49211.52041,92996.68687,1810.487894,54891.03585,54289.98416,40853.02132,49980.74236,42087.06011,87674.28742,25692.14434,564815.1158,2456.897118,112557.3324,47879.02357,49892.91942,78044.6295,9027.857721,32545.44248,4680.474118,8327.596927,84411.86006,255534.0974,40476.45494,86588.72831,103866.5793,1983.589687,6756.948641,112983.5754,121399.5094,181073.5675,68355.19606,55594.46076,12524.38734,39957.95472,27614.76369,18451.48671,146799.9627,9072.780586,47587.86944,123665.1341,12473.62391,79099.91112,62426.74686,370242.3119,150698.6543,458218.5679,33465.4237,30031.56474,69623.7862,11369.07562,9067.133965,103871.9492,8740.955797,4212.423867,23666.01951,1424.853841,13673.82353,40388.94992,94891.04816,96317.66635,557872.884,12680.78623,6793.599118,38914.47333,93602.32217,38326.77006,71738.17464,41957.66484,57106.40299,64672.58603,90658.6666,2520.987746,17911.92236,39404.66941,98662.39256,52630.07876,35245.10523,28778.00111,21646.56366,17522.23816,35495.41337,2572.469613,52291.71935
