FloodNoAdapt,noAdaptation,inundation
RelocateNoAdapt,noAdaptation,relocation
StormPopNoAdapt,noAdaptation,stormPop
StormCapitalNoAdapt,noAdaptation,stormCap
WetlandNoAdapt,noAdaptation,wetland
NoAdaptCost,noAdaptation,total
FloodRetreat,retreat,inundation
RelocateRetreat,retreat,relocation
WetlandRetreat,retreat,wetland
StormPopRetreat,retreat,stormPop
StormCapitalRetreat,retreat,stormCap
RetreatCost,retreat,total
Construct,protect,protection
WetlandProtect,protect,wetland
StormPopProtect,protect,stormPop
StormCapitalProtect,protect,stormCap
ProtectCost,protect,total
OptimalCost,optimalFixed,total